Scenario,MAE,RMSE,R2
Normal Split,36.07181617955094,54.28059665147532,0.9968500700385163
Less Training Data,97.43386166467455,194.83066679303218,0.9721005307191032
With Noise,36.03285361570038,54.369925520206344,0.9968396939104395
With Missing Values,504.69990791757965,1547.7504886010204,-1.5610235461627995
