Model,MAE,RMSE,R2,Rank_MAE,Rank_RMSE,Rank_R2,Overall_Rank
Linear Regression,29.66103632600344,46.630096448559954,0.9976754210577904,1.0,1.0,1.0,1.0
Random Forest,36.07181617955094,54.28059665147532,0.9968500700385163,2.0,2.0,2.0,2.0
