Strategy,MAE,RMSE,R2
Raw,29.66103632600344,46.630096448559954,0.9976754210577904
Indicator,29.65067198311353,46.653706278149556,0.9976734979215918
Scaled,29.650671983113572,46.65370627814946,0.9976734979215918
Full,29.650671983113554,46.653706278149514,0.9976734979215918
